Release,Track No#,Song Title,Artist,Rep Count,Duration,Genre,Hard?,Easy to Learn?,Tags
77,4 - Back,Hold Me Tonight (Manox Remix),Manian,,5:31,Pop,,,
77,5 - Triceps,I Like It,Tokyo Haze (original: Enrique Iglesias and Pitbull),,5:19,Pop,,,Sing-Along
77,6 - Biceps,Diamond Eyes (Boom-Lay Boom-Lay Boom),Shinedown,,5:25,Pop,,,
77,7 - Lunges,Only Girl In The World (E-Nergy Remix),Nick Skitz vs DJ Lotus (original: Rihanna),,5:34,EDM,,,"Valentine's Day, Women of Pop, Sing-Along"
77,8 - Shoulders,Ti Sento,Scooter,,4:49,Pop,,,
77,9 - Core,We No Speak Americano,Yolanda Be Cool vrs DCUP,,4:19,Pop,,,Short (<4:30)
77,10 - Cooldown,One Last Chance,Daughtry,,3:33,Rock,,,Short (<4:30)
78,1 - Warmup,Saturday,Basshunter,,4:47,Pop,,,
78,2 - Squats,Beautiful Monster (Damn-R Remix),Mick Lion,,5:37,Pop,,,Halloween
78,3 - Chest,Sweet Child O' Mine,Swade (original: Guns 'n' Roses),,5:36,Rock,,,"Sing-Along, Valentine's Day, Hard, Positive Vibes"
78,4 - Back,Tonight Is The Night 2K10 (Extended Mix),Raindropz ! vs Le Click,,5:33,Pop,,,
78,5 - Triceps,Yeah 3x,Chris Brown,,4:38,Hip-Hop,,,
78,6 - Biceps,Raise Your Glass,P!nk,,4:33,Pop,,,"P!nk, New Year's Eve, Women of Pop, Pride"
78,7 - Lunges,Firework (Klub Smasherz Remix),Galaxy Surfers (original: Katy Perry),,5:52,Pop,,,"Women of Pop, New Year's Eve, Summer, Pride"
78,8 - Shoulders,Welcome To Africa (Short Cut),Paffendorf,,5:29,Pop,,,
78,9 - Core,Please Don't Go,Mike Posner,,4:30,Pop,,,Short (<4:30)
78,10 - Cooldown,Just A Dream,Fire & Ice,,4:02,Pop,,,Short (<4:30)
79,1 - Warmup,Higher,Logan S. feat. Mandy Brewer,,5:01,Pop,,,
79,2 - Squats,Closer To The Edge,Mekon Garden,,5:56,Pop,,,
79,3 - Chest,Party All Night (Sleep All Day),Sean Kingston,,5:09,Hip-Hop,,,New Year's Eve
79,4 - Back,Written In The Stars (Sunny Dee Remix),Jason Born,,5:33,Pop,,,
79,5 - Triceps,Born This Way,Southern Light (original: Lady Gaga),,5:00,Pop,,,"Positive Vibes, Women of Pop, Pride"
79,6 - Biceps,Livin' On A Prayer,Altiyan Childs (original: Bon Jovi),,4:15,Rock,,,"Sing-Along, Positive Vibes, Short (<4:30)"
79,7 - Lunges,Grenade (Damn-R Mix),Jason Born,,5:05,Pop,,,Break-Up Songs
79,8 - Shoulders,J'Adore Hardcore (Extended Mix),Scooter,,5:25,EDM,,,
79,9 - Core,We'll Be Alright,Travie McCoy,,3:23,Pop,,,Short (<4:30)
79,10 - Cooldown,The Crow & The Butterfly,Shinedown,,4:39,Pop,,,Spring
80,1 - Warmup,Resuscitate Me,September,,5:31,Pop,,,Spring
80,2 - Squats,The Edge Of Glory (Glory Mix),Red Beans & Rice (original: Lady Gaga),,5:56,Pop,,,"Positive Vibes, Women of Pop, Spring, Pride"
80,3 - Chest,Smells Like Teen Spirit,Ninth Immortal (original: Nirvana),,5:25,Rock,,,"Sing-Along, Beast Mode"
80,4 - Back,The Tide,Twilight,,5:25,Pop,,,Summer
80,5 - Triceps,Till The World Ends,Britney Spears,,4:39,Pop,,,"Women of Pop, Sing-Along, New Year's Eve, Halloween"
80,6 - Biceps,Eye Of The Tiger,Altiyan Childs (original: Survivor),,4:26,Rock,,,"Positive Vibes, Sing-Along, Beast Mode, Short (<4:30)"
80,7 - Lunges,Fading Like A Flower (Club Radio Mix),Dan Winter,,5:20,Pop,,,Spring
80,8 - Shoulders,Hands Up! (Sample Ripperz Remix),Jens O.,,5:34,Pop,,,
80,9 - Core,Rolling In The Deep,Colourbox (original: Adele),,4:52,Pop,,,"Sing-Along, Women of Pop, Break-Up Songs"
80,10 - Cooldown,Fade Into Me,David Cook,,4:12,Pop,,,Short (<4:30)
81,1 - Warmup,You Make Me Feel,Cobra Starship feat. Sabi,,4:56,Pop,,,
81,2 - Squats,Higher Ground,Jagged Eagle,,5:13,Pop,,,
81,3 - Chest,Loud,Stan Walker,,4:58,Pop,,,
81,4 - Back,Ravers Fantasy (Manox Remix),Manian,,6:07,Pop,,,Long (>6 min)
81,5 - Triceps,Domino,Miss Daise,,4:58,Pop,,,
81,6 - Biceps,I Own You,Shinedown,,3:35,Pop,,,Short (<4:30)
81,7 - Lunges,San Francisco (Remix II),Fine Tune,,5:09,Pop,,,"Sing-Along, Pride"
81,8 - Shoulders,Blood Is Pumping,Blade X,,4:53,Pop,,,
81,9 - Core,Mr Saxobeat,Alexandra Stan,,4:06,Pop,,,Short (<4:30)
81,10 - Cooldown,Best Thing I Never Had,Beyonce,,4:38,Pop,,,"Women of Pop, Break-Up Songs"
82,1 - Warmup,Raining Diamonds,Ricki-Lee,,4:40,Pop,,,Spring
82,2 - Squats,Someone Like You (Kris McTwain Club Edit),N-Finity (original: Adele),,5:28,Pop,,,"Women of Pop, Break-Up Songs"
82,3 - Chest,I Like How It Feels,Solitary Phase (original: Enrique Iglesias and Pitbull),,5:04,Pop,,,
82,4 - Back,Bring Me To Life (Hands Up Club Mix),Jan Wayne (original: Evanescence),,5:39,Rock,,,"Sing-Along, Emo, Halloween, Spring"
82,5 - Triceps,Bad Case Of Loving You,Secret Appendix (original: Robert Palmer),,4:32,Rock,,,Valentine's Day
82,6 - Biceps,Bottoms Up,Nickelback,,3:34,Rock,,,Short (<4:30)
82,7 - Lunges,Ecuador (Bad Behaviour Remix),Sash!,,5:25,Pop,,,
82,8 - Shoulders,Be Cool 2011 (DJ From Mars Club Remix),Paffendorf,,5:42,Pop,,,Winter
82,9 - Core,Feel So Close,Calvin Harris,,3:30,EDM,,,"Short (<4:30), Valentine's Day, Positive Vibes"
82,10 - Cooldown,Time To Say Goodbye,Il Divo,,4:45,Pop,,,
83,1 - Warmup,Set It Off (Wings & Rider Remix Edit),Pimp Dawg,,5:11,Pop,,,
83,2 - Squats,Summer Of '69,Yesterday Affair (original: Bon Jovi),,5:23,Rock,,,"Sing-Along, Summer, Spicy"
83,3 - Chest,Turn Up The Music,Chris Brown,,5:01,Hip-Hop,,,New Year's Eve
83,4 - Back,Set Fire To The Rain (B&W Remix),Fizzy Deejay (original: Adele),,5:46,Pop,,,"Break-Up Songs, Halloween, Spring, Women of Pop"
83,5 - Triceps,Glad You Came,Toy Hypo (original: The Wanted),,5:12,Pop,,,"Positive Vibes, Sing-Along"
83,6 - Biceps,Stronger (What Doesn't Kill You),Kelly Clarkson,,3:40,Pop,,,"Women of Pop, Positive Vibes, Pride, Short (<4:30), Sing-Along"
83,7 - Lunges,Turn The Tide (Manox Remix),Manian & Aila,,5:38,Pop,,,Summer
83,8 - Shoulders,C'est Bleu,Scooter feat. Vicky Leandros,,5:37,Pop,,,
83,9 - Core,When We Stand Together,Nickelback,,3:49,Rock,,,"Positive Vibes, Short (<4:30)"
83,10 - Cooldown,Better Than I Know Myself,Adam Lambert,,4:03,Pop,,,Short (<4:30)
84,1 - Warmup,Let's Go,Lock Jaw,,4:57,Pop,,,
84,2 - Squats,Turning Tables,Element Depot (original: Adele),,5:12,Pop,,,Women of Pop
84,3 - Chest,Welcome To The Jungle,Guiltless United (original: Guns 'n' Roses),,5:04,Rock,,,"Sing-Along, Beast Mode, Summer"
84,4 - Back,Because the Night (Manian Bootleg Cut),Cascada,,5:29,EDM,,,"Pride, Valentine's Day"
84,5 - Triceps,Scream,Usher,,4:57,Hip-Hop,,,"Halloween, Sing-Along"
84,6 - Biceps,Crazy,Klayplex,,4:34,Pop,,,
84,7 - Lunges,Where Have You Been,Reality Hero (original: Rihanna),,5:39,Pop,,,Women of Pop
84,8 - Shoulders,Welcome To The Club 2011 (Discotronic Radio Edit),Manian,,5:24,Pop,,,"Pride, New Year's Eve"
84,9 - Core,Whistle,Flo Rida,,3:50,Hip-Hop,,,Short (<4:30)
84,10 - Cooldown,Lullaby,Nickelback,,3:53,Rock,,,Short (<4:30)
85,1 - Warmup,Heartbreak On Hold,Alexandra Burke,,4:33,Pop,,,
85,2 - Squats,Antidote,Swedish House Mafia vs. Knife Party,,5:27,EDM,,,
85,3 - Chest,Uprising,Muse,,5:48,Rock,,,"Beast Mode, Positive Vibes, Sing-Along, Hard"
85,4 - Back,The Rhythm Of The Night (Ryan T. & Rick M. Radio Edit),Cascada,,5:26,EDM,,,New Year's Eve
85,5 - Triceps,Let It Roll,Flo Rida,,4:05,Pop,,,Short (<4:30)
85,6 - Biceps,Blow Me (One Last Kiss) (Clean Radio Edit),P!nk,,4:13,Pop,,,"P!nk, Women of Pop, Break-Up Songs, Short (<4:30)"
85,7 - Lunges,Spectrum,Loyal Crown,,5:41,Pop,,,
85,8 - Shoulders,This Is How We Rock! (Hardforze H.A.R.D Remix Edit),Brooklyn Bounce,,5:20,Pop,,,
85,9 - Core,One More Night,Eastern Clause,,4:38,Pop,,,
85,10 - Cooldown,Forever,Six60,,5:18,Pop,,,
86,1 - Warmup,I Cry,Flo Rida,,4:52,Hip-Hop,,,
86,2 - Squats,In The Clear,Six60,,6:29,Pop,,,Long (>6 min)
86,3 - Chest,Your Body,Christina Aquilera,,4:58,Pop,,,Women of Pop
86,4 - Back,Campione 2012,DJ Flow,,4:52,EDM,,,
86,5 - Triceps,50 Ways To Say Goodbye,Train,,5:21,Pop,,,"Sing-Along, Hard"
86,6 - Biceps,Dark Side,Kelly Clarkson,,3:42,Pop,,,"Women of Pop, Short (<4:30)"
86,7 - Lunges,Don't You Worry Child (Radio Edit),Swedish House Mafia feat. John Martin,,5:19,Pop,,,"Positive Vibes, Pride"
86,8 - Shoulders,We'll Be Coming Back,Upon Havoc,,5:44,Pop,,,
86,9 - Core,She's So Mean,Matchbox 20,,3:56,Rock,,,"Sing-Along, Short (<4:30), Break-Up Songs"
86,10 - Cooldown,Try,P!nk,,4:31,Pop,,,"P!nk, Women of Pop"
87,1 - Warmup,Let There Be Love,Christina Aguilera,,5:22,Pop,,,"Women of Pop, Valentine's Day, Spicy, Pride"
87,2 - Squats,Black Betty,Scooter,,5:20,EDM,,,Sing-Along
87,3 - Chest,Don't Stop The Party,Pitbull ft. TJR,,5:21,Latin,,,"New Year's Eve, Pride"
87,4 - Back,Again & Again (Club Mix),Nick Skitz & Basslouder ft. Brooklyn Bounce,,5:31,Pop,,,Spring
87,5 - Triceps,My Songs Know What You Did In The Dark,Fall Out Boy,,4:02,Pop,,,"Beast Mode, Emo, Halloween, Short (<4:30)"
87,6 - Biceps,Bom Bom,Sam And The Womp,,4:19,Pop,,,Short (<4:30)
87,7 - Lunges,Sweet Nothing,Calvin Harris feat. Florence Welch,,5:35,Pop,,,"Valentine's Day, Hard, Women of Pop, Break-Up Songs"
87,8 - Shoulders,Crush On You,Nero,,4:44,Pop,,,"Valentine's Day, Pride"
87,9 - Core,Troublemaker,Olly Murs ft. Flo Rida,,4:16,Pop,,,Short (<4:30)
87,10 - Cooldown,Here Without You,3 Doors Down,,4:21,Rock,,,"Break-Up Songs, Short (<4:30)"
88,1 - Warmup,Tonight,Jessica Sanchez feat. Ne-Yo,,4:59,Pop,,,
88,2 - Squats,Killer (Crush Remix),Skism feat. DC Breaks & Dee Freer,,5:42,Hip-Hop,,,Halloween
88,3 - Chest,A Little Party Never Killed Nobody (All We Got),"Fergie, Q-Tip & GoonRock",,5:27,Pop,,,"New Year's Eve, Women of Pop"
88,4 - Back,Somebody (Cc.K Remix),Jens O.,,5:39,Pop,,,
88,5 - Triceps,Can't Hold Us,Macklemore & Ryan Lewis feat. Ray Dalton,,5:49,Pop,,,"Sing-Along, Positive Vibes"
88,6 - Biceps,Up in the Air,Thirty Seconds to Mars,,4:33,Rock,,,
88,7 - Lunges,Play Hard,David Guetta feat. Ne-Yo & Akon,,5:19,Pop,,,Sing-Along
88,8 - Shoulders,Raving (G! Mix),Brooklyn Bounce & Giorno,,5:20,Pop,,,
88,9 - Core,Only You,Ellie Goulding,,3:55,Pop,,,"Women of Pop, Short (<4:30)"
88,10 - Cooldown,Give Me Love,LL Cool J ft. Seal,,4:31,Hip-Hop,,,Valentine's Day
89,1 - Warmup,Not Alone,Dane Rumble feat. Jupiter Project,87,4:38,Pop,,,"Positive Vibes, Pride"
89,2 - Squats,Raise Those Hands,R3Hab & Bassjackers,128,5:41,EDM,,,New Year's Eve
89,3 - Chest,Where Did the Party Go,Fall Out Boy,94,5:06,Rock,,,"Emo, New Year's Eve"
89,4 - Back,Me & You,Nero,104,5:25,EDM,,,
89,5 - Triceps,Applause,Lady Gaga,95,4:35,Pop,,,"Women of Pop, Sing-Along, New Year's Eve"
89,6 - Biceps,When You Were Young,The Killers,101,5:22,Rock,,,Sing-Along
89,7 - Lunges,Burn,Ellie Goulding,100,5:34,Pop,,,"Women of Pop, Sing-Along, Summer"
89,8 - Shoulders,True Hardstyler (Silver Nikan Radio Edit),Brooklyn Bounce & DJ Zealot,125,5:29,EDM,,,
89,9 - Core,La La La,Naughty Boy feat. Sam Smith,58,3:44,Pop,,,Short (<4:30)
89,10 - Cooldown,Radioactive,Imagine Dragons,0,3:56,Rock,,,"Sing-Along, Halloween, Short (<4:30)"
90,1 - Warmup,You Make Me,Avicii,92,5:20,Rock,,,Sing-Along
90,2 - Squats,What Now,Rihanna,134,5:51,Hip-Hop,,,Women of Pop
90,3 - Chest,Conquistador,Thirty Seconds to Mars,108,5:29,Rock,,,"Emo, Beast Mode"
90,4 - Back,Promises,Nero,118,5:45,EDM,,,
90,5 - Triceps,Walk of Shame,P!nk,94,4:18,Pop,,,"P!nk, Women of Pop, Short (<4:30), Spicy"
90,6 - Biceps,Miss Jackson,Panic! at the Disco feat. Lolo,106,3:59,Rock,,,"Emo, Break-Up Songs, Short (<4:30)"
90,7 - Lunges,Stay the Night,Zedd feat. Hayley Williams,128,5:20,Pop,,,Easy to Learn
90,8 - Shoulders,Thumbs Up (For Rock N Roll) Kill The Noise Remix,Kill the Noise and Feed Me,113,4:37,EDM,,,Positive Vibes
90,9 - Core,Something I Need,OneRepublic,126,4:06,Pop,Hard,,"Hard, Short (<4:30)"
90,10 - Cooldown,How You Remind Me,Nickelback,0,4:07,Rock,,,"Break-Up Songs, Short (<4:30)"
90,6 - Biceps,Everybody Bring It,Ronnie Fi'nesse,128,4:58,Hip-Hop,,,
90,5 - Triceps,Put Your Hands Up,Stevie V feat. III Youth,82,5:15,EDM,,,
91,1 - Warmup,Ten Feet Tall,Wrabel,81,5:04,Pop,,,Positive Vibes
91,2 - Squats,Somebody Told Me,The Killers,135,5:09,Rock,,,"Emo, Sing-Along"
91,3 - Chest,Goodness Gracious,Ellie Goulding,124,5:52,Pop,,,"Positive Vibes, Spring"
91,4 - Back,Beautiful Life (Remix),Armin Van Buuren,78,5:41,EDM,,,Spring
91,5 - Triceps,Hey Brother,Avicii,136,5:18,EDM,,,
91,6 - Biceps,Bad Company,Five Finger Death Punch,93,5:13,Rock,,,
91,7 - Lunges,Find You,Zedd,131,5:31,EDM,,,Pride
91,8 - Shoulders,"Eat, Sleep, Rave, Repeat (Remix)",Fatboy Slim,81,5:08,EDM,,,New Year's Eve
91,9 - Core,Trumpets,Jason Derulo,44,3:42,Pop,,,"Short (<4:30), Spicy"
91,10 - Cooldown,Burning Bridges,OneRepublic,0,4:23,Pop,,,Short (<4:30)
91,9 - Core,Hold On,Colbie Caillat,60,3:39,Pop,,,"Women of Pop, Positive Vibes, Short (<4:30)"
92,1 - Warmup,All We Need Is Love,Ricki-Lee,91,5:16,Pop,,,"Valentine's Day, Positive Vibes, Pride"
92,2 - Squats,GO!,Autoerotique vs Marc Noir,124,5:29,EDM,,,
92,3 - Chest,The Phoenix,Fall Out Boy,124,5:33,Rock,,,Emo
92,4 - Back,Letting Go (LTN Radio Edit),BT Fractal & JES,66,5:35,EDM,,,
92,5 - Triceps,Problem,Ariana Grande feat. Iggy Azalea,95,4:03,Pop,,,"Women of Pop, Break-Up Songs, Positive Vibes, Short (<4:30)"
92,6 - Biceps,Come With Me Now,KONGOS,84,4:34,Rock,,,Easy to Learn
92,7 - Lunges,NRG,Guiltless Happy,155,5:30,EDM,,,
92,8 - Shoulders,Ping Pong (Radio Edit),Armin Van Buuren,101,5:15,EDM,,,
92,9 - Core,Fancy,Iggy Azalea feat. Charli XCX,54,4:20,Pop,,,"Women of Pop, Sing-Along, Short (<4:30)"
92,10 - Cooldown,Chandelier,Sia,0,3:40,Pop,,,"Women of Pop, Sing-Along, New Year's Eve, Short (<4:30)"
92,4 - Back,Dream & Dance,DJ Paffendorf vs Ryan T,92,5:38,EDM,,,"New Year's Eve, Spring"
92,9 - Core,Love Runs Out,OneRepublic,48,3:50,Pop,,,"Sing-Along, Pride, Valentine's Day, Short (<4:30), Positive Vibes"
93,1 - Warmup,Break Free,Ariana Grande feat. Zedd,95,5:00,Pop,,,"Women of Pop, Positive Vibes, Pride, Break-Up Songs"
93,2 - Squats,Booyah (Lucky Date Remix),Showtek feat. We are Loud & Sonny Wilson,95,5:37,EDM,,,
93,3 - Chest,Kings And Queens,Thirty Seconds To Mars,75,5:34,Rock,,,Emo
93,4 - Back,Here Tonight (Carita La Nina Radio Edit),Dash Berlin & Jay Cosmic feat. Colin McLoughlin,78,5:11,EDM,,Easy to Learn,"New Year's Eve, Easy to Learn"
93,5 - Triceps,Bang Bang,"Jessie J, Ariana Grande, & Nicki Minaj",116,4:56,Pop,Hard,,"Women of Pop, Hard, Spicy"
93,6 - Biceps,Centuries,Fall Out Boy,144,4:56,Rock,,,"Emo, Sing-Along"
93,7 - Lunges,1941,Klayplex feat. Virian,121,5:27,EDM,Hard,,"New Year's Eve, Hard"
93,8 - Shoulders,Twisted (Eptic Remix),Fedde le Grand,112,5:37,EDM,,,
93,9 - Core,All About That Bass,Meghan Trainor,136,4:54,Pop,,,"Women of Pop, Spicy"
93,10 - Cooldown,What Are You Waiting For?,Nickelback,0,3:45,Rock,,,Short (<4:30)
93,3 - Chest,Fight On,Jean-Paul Parks,116,5:25,Pop,,,
93,5 - Triceps,Animal,Neon Trees,96,4:36,EDM,,,
94,1 - Warmup,Heroes (We Could Be),Alesso feat. Tove Lo,104,5:31,EDM,Hard,,"Positive Vibes, Hard"
94,2 - Squats,Everybody Go!,Vice,60,5:36,EDM,,,
94,3 - Chest,Burnin' Up,Jessie J feat. 2 Chainz,146,5:34,Pop,,,"Women of Pop, Summer, Spicy"
94,4 - Back,Today (Scooter Remix),Scooter & Vassy,72,5:29,EDM,,,Easy to Learn
94,5 - Triceps,Lips Are Movin,Meghan Trainor,127,4:43,Pop,,,"Women of Pop, Break-Up Songs"
94,6 - Biceps,Get 'Em Up,Nickelback,142,4:57,Rock,,,
94,7 - Lunges,We Make It Bounce,Dillon Francis feat. Major Lazer & Stylo G,178,5:25,EDM,,Easy to Learn,Easy to Learn
94,8 - Shoulders,This Is How It Goes,Zylent feat. Katatonic,102,5:40,Pop,,,
94,9 - Core,Baby Don't Lie,Gwen Stefani,68,4:22,Pop,,,"Women of Pop, Short (<4:30)"
94,10 - Cooldown,Only Love Can Hurt Like This,Paloma Faith,0,4:18,Pop,,,"Valentine's Day, Break-Up Songs, Women of Pop, Short (<4:30)"
94,6 - Biceps,I Bet My Life,Imagine Dragons,71,4:13,Rock,,,Short (<4:30)
95,1 - Warmup,Outside,Calvin Harris feat. Ellie Goulding,85,4:48,Pop,Hard,,"Women of Pop, Summer, Hard, Spring"
95,2 - Squats,Bukem,Autoerotique & 4B,85,5:13,EDM,,,
95,3 - Chest,Uptown Funk,Mark Ronson feat. Bruno Mars,177,6:06,Pop,,,"Sing-Along, Summer, Long (>6 min)"
95,4 - Back,Beautiful World (Radio Edit),Blasterjaxx & DBSTF feat. Ryder,93,5:23,EDM,,,"Positive Vibes, Spring"
95,5 - Triceps,Irresistible,Fall Out Boy,129,4:18,Rock,,,"Valentine's Day, Emo, Easy to Learn, Short (<4:30)"
95,6 - Biceps,GDFR,Flo Rida feat. Sage The Gemini & Lookas,154,4:25,Hip-Hop,,,Short (<4:30)
95,7 - Lunges,Burnin,Calvin Harris & R3Hab,154,6:02,EDM,Hard,,"Summer, Hard, Beast Mode, Long (>6 min)"
95,8 - Shoulders,I Am Machine,Three Days Grace,101,5:17,Rock,,,Beast Mode
95,9 - Core,Sugar,Maroon 5,91,3:59,Pop,,,"Sing-Along, Halloween, Short (<4:30)"
95,10 - Cooldown,Brother,NEEDTOBREATHE feat. Gavin DeGraw,0,3:33,Pop,,,Short (<4:30)
96,1 - Warmup,Five More Hours,Deorro X Chris Brown,94,5:29,Hip-Hop,,,"Sing-Along, New Year's Eve"
96,2 - Squats,Blow Your Mind,Tiesto & MOTI,122,6:12,EDM,Hard,,"Hard, Long (>6 min)"
96,3 - Chest,Immortals,Along Pointless (original: Fall Out Boy),137,6:08,Rock,,,"Emo, Long (>6 min)"
96,4 - Back,The Thrill,Nero,105,5:29,EDM,,,
96,5 - Triceps,Hallelujah,Panic! at the Disco,101,4:16,Rock,,,"Emo, Short (<4:30)"
96,6 - Biceps,Wobble,Flo Rida,158,4:30,Hip-Hop,,,"Valentine's Day, Short (<4:30)"
96,7 - Lunges,Peanut Butter Jelly,Galantis,172,5:21,EDM,,,Spicy
96,8 - Shoulders,Addicted To A Memory,Zedd Feat. Bahari,126,6:06,EDM,Hard,,"Break-Up Songs, Hard, Long (>6 min)"
96,9 - Core,Want To Want Me,Jason Derulo,89,3:32,Pop,,,"Valentine's Day, Short (<4:30)"
96,10 - Cooldown,Adore,Cashmire Cat Feat. Ariana Grande,0,3:41,Pop,,,"Valentine's Day, Women of Pop, Short (<4:30)"
97,1 - Warmup,Scars,Alesso Feat Ryan Tedder,80,5:02,EDM,,,Positive Vibes
97,2 - Squats,Derp,Bassjackers & MAKJ,122,6:17,EDM,,,Long (>6 min)
97,3 - Chest,Generation Day,Godsmack,135,6:05,Rock,,,"Beast Mode, Long (>6 min)"
97,4 - Back,Dark Skies,Nero,80,5:49,EDM,,,"Halloween, Winter"
97,5 - Triceps,Waiting For Love,Avicii,157,5:33,EDM,Hard,,"Sing-Along, Valentine's Day, Hard"
97,6 - Biceps,We Don't Run,Bon Jovi,148,4:39,Rock,,,Sing-Along
97,7 - Lunges,How Deep Is Your Love,Calvin Harris,171,5:46,EDM,,,Valentine's Day
97,8 - Shoulders,Bumble Bee,Zedd & Botnek,119,5:50,EDM,,,"Summer, Spring"
97,9 - Core,Young & Stupid,Travis Mills,55,3:05,Pop,,Easy to Learn,"New Year's Eve, Easy to Learn, Short (<4:30)"
97,10 - Cooldown,Purple,Six60,0,3:48,Pop,,,Short (<4:30)
97,4 - Back,Underworld,Alloy Dreams,80,5:58,EDM,,,
98,1 - Warmup,Strong Ones,Armin Van Buuren,90,5:06,Pop,,,Positive Vibes
98,2 - Squats,Techno,Vinal,124,5:29,EDM,,,
98,3 - Chest,Focus,Ariana Grande,146,5:58,Pop,Hard,,"Women of Pop, Hard"
98,4 - Back,Chased,Andrew Rayel & Mark Sixma,88,5:30,EDM,,,
98,5 - Triceps,Two Minds,Nero,137,5:32,EDM,,,Break-Up Songs
98,6 - Biceps,Victorious,Panic! At The Disco,96,4:34,Rock,,,"Emo, New Year's Eve"
98,7 - Lunges,Memories,KSHMR,154,5:28,EDM,,,"Halloween, Break-Up Songs"
98,8 - Shoulders,Redliner,Nick Skitz,152,5:27,EDM,Hard,,Hard
98,9 - Core,My House,Flo Rida,82,4:08,Hip-Hop,,,"New Year's Eve, Positive Vibes, Short (<4:30)"
98,10 - Cooldown,Bird Set Free,Sia,0,4:18,Pop,,,"Spring, Easy to Learn, Women of Pop, Positive Vibes, Short (<4:30)"
99,1 - Warmup,Mad World,Hardwell Feat. Jake Reese,98,5:29,EDM,,,
99,2 - Squats,Power Glove,Knife Party,138,6:00,EDM,,,"Beast Mode, Long (>6 min)"
99,3 - Chest,In The Dark,3 Doors Down,144,6:08,Rock,Hard,,"Hard, Long (>6 min), Spicy"
99,4 - Back,Winterburn,Andrew Rayel & Digital X Feat. Sylvia Tosun,80,6:11,EDM,,,"Long (>6 min), Winter"
99,5 - Triceps,Something in the Way You Move,Ellie Goulding,112,4:51,Pop,,,"Positive Vibes, Women of Pop, Valentine's Day"
99,6 - Biceps,Emperor's New Clothes,Panic! At The Disco,99,4:16,Rock,,,"Emo, Halloween, Short (<4:30), Spicy"
99,7 - Lunges,Won't Stop Rocking,R3Hab & Headhunters,148,5:30,EDM,,,
99,8 - Shoulders,Old Skool,Armin Van Buuren,111,5:14,EDM,,,
99,9 - Core,Work,Rihanna feat. Drake,117,3:39,Hip-Hop,Hard,,"Women of Pop, Hard, Short (<4:30)"
99,10 - Cooldown,Torches,Daughtry,0,3:35,Rock,,,Short (<4:30)
100,1 - Warmup,This Is What You Came For,Calvin Harris & Rihanna,106,5:58,Pop,,,"Women of Pop, Sing-Along"
100,2 - Squats,Kraken,Knife Party,149,6:14,EDM,,,"Beast Mode, Long (>6 min)"
100,3 - Chest,Bad Man,"Pitbull Feat. Robin Thick, Joe Perry & Travis Barker",185,5:44,Latin,,,
100,4 - Back,Creation,Seven Lions feat Vok,102,6:11,EDM,,,"Long (>6 min), Spring"
100,5 - Triceps,Me Too,Meghan Trainor,71,4:52,Pop,,,Women of Pop
100,6 - Biceps,Who's With Me,Flo Rida,136,5:20,Hip-Hop,,,
100,7 - Lunges,No Money,Galantis,138,5:36,EDM,,,
100,8 - Shoulders,NRG,Chase & Status feat Novelist,115,6:10,EDM,,,Long (>6 min)
100,9 - Core,Wherever I Go,OneRepublic,57,3:57,Pop,,,"Valentine's Day, Short (<4:30)"
100,10 - Cooldown,Just Like Fire,P!nk,0,3:40,Pop,,,"P!nk, Summer, Women of Pop, Positive Vibes, Short (<4:30)"
100,4 - Back,Turn Up,The Heavy,90,5:15,Rock,,,Sing-Along
100,7 - Lunges,Bailar,Deorro Feat Elvis Crespo,158,5:22,Latin,,,
100,8 - Shoulders,Tic Tic Tic,Dada Life feat Lizzy Hale,102,5:23,Rock,,Easy to Learn,Easy to Learn
100,2 - Squats,Feel Your Love,Dannic & Sick Individuals,138,5:57,EDM,,,Valentine's Day
101,1 - Warmup,Run Wild,Hardwell Feat. Jake Reese,104,5:47,EDM,,,"Halloween, Beast Mode, Spring"
101,2 - Squats,Go! (Vincent Price Remix),Wolfpack & Avancada,184,5:56,EDM,,,
101,3 - Chest,Spoken Word,Chase & Status feat George The Poet,132,5:10,Pop,,,"Positive Vibes, Pride"
101,4 - Back,LRAD,Knife Party,90,5:43,EDM,Hard,,Hard
101,5 - Triceps,Friday,PARRI$,140,5:31,Pop,Hard,,Hard
101,6 - Biceps,Jungle Youth,Young The Giant,124,5:43,Rock,,,
101,7 - Lunges,Ocho Cinco,DJ Snake feat. Yellow Claw,131,5:23,EDM,,,Beast Mode
101,8 - Shoulders,Feel Your Love,Flux Pavilion & NGHTMRE feat Jamie Lewis,148,5:55,EDM,,,Valentine's Day
101,9 - Core,Closer,The Chainsmokers feat Halsey,76,4:55,Pop,,,Sing-Along
101,10 - Cooldown,Love On The Brain,Rihanna,0,3:47,Hip-Hop,,,"Women of Pop, Valentine's Day, Short (<4:30)"
102,1 - Warmup,Used To Have It All,Fais & Afrojack,93,5:10,EDM,,,Break-Up Songs
102,2 - Squats,Find Me,Sigma feat. Birdy,122,5:14,EDM,,,"Positive Vibes, Spring"
102,3 - Chest,Sweet Lovin',Sigala,138,5:02,Pop,,,"Valentine's Day, Positive Vibes"
102,4 - Back,Blame,Zeds Dead & Diplo feat Elliphant,98,5:36,Pop,,,
102,5 - Triceps,Drum,Something In The Water,122,5:08,Pop,,,
