Release,Track No#,Song Title,Artist,Rep Count,Duration,Genre,Hard?,Easy to Learn?,Tags
133,1 - Warmup,Another World,MEDUZA & HAYLA,,4:43,EDM,,,Easy to Learn
133,2 - Squats,Sun Is Shining,Funkstar De Luxe x Fred V,,5:11,EDM,,,"Summer, Easy to Learn"
133,3 - Chest,Kill It,aespa,,5:20,K-Pop,,,Beast Mode
133,4 - Back,SMACK TALK,"ISOxo, Knock2, RL Grime, ISOKNOCK",,5:25,EDM,,,Beast Mode
133,5 - Triceps,Its ok I'm ok,Tate McRae,,5:00,Pop,,Easy to Learn,"Women of Pop, Break-Up Songs, Easy to Learn"
133,6 - Biceps,HOT TO GO!,Chappell Roan,,5:00,Pop,,,"Women of Pop, Pride, Spicy, Sing-Along, Valentine's Day, Summer"
133,7 - Lunges,My My My,Promise Land x Skullwell,,5:17,EDM,Hard,,"Positive Vibes, Hard"
133,8 - Shoulders,In My Mind (Extended Mix),"Gabry Ponte, Giuseppe Ottaviani feat. Malou",,5:55,EDM,,,
133,9 - Core,Candela,Sunlay,,5:00,Latin,,,
133,10 - Cooldown,Rumble,Rag'n'Bone Man,,3:31,Pop,,,Short (<4:30)
134,1 - Warmup,Tell Me,Sonny Fodera & Clementine Douglas,,5:19,EDM,,,Easy to Learn
134,2 - Squats,Touch Me,SaberZ x Lister,,5:10,EDM,,,Easy to Learn
134,3 - Chest,Abracadabra,Lady Gaga,,5:54,Pop,,,"Women of Pop, Sing-Along, Halloween, Pride"
134,4 - Back,come aliv3,RL Grime & Knock2 feat. Abi Flynn,,5:21,EDM,,,"Halloween, Spring"
134,5 - Triceps,Alo,Nono,,5:05,Hip-Hop,,,
134,6 - Biceps,God's Menu,Stray Kids,,4:20,K-Pop,,,Short (<4:30)
134,7 - Lunges,MAMI,Laidback Luke & Henry Fong,,5:13,Latin,,,
134,8 - Shoulders,Something About You,Giuseppe Ottaviani feat. Adriana Stone,,5:50,EDM,,,Valentine's Day
134,9 - Core,LESSGO,G.L.A.M. feat. Black Caviar,,4:01,Hip-Hop,,,"Easy to Learn, Short (<4:30)"
134,10 - Cooldown,Jitterbug,Niko Walters & Will Henderson,,2:51,Pop,,,"Positive Vibes, Short (<4:30)"
135,1 - Warmup,Here In Your Arms,Nathan Dawe & Abi Flynn,,5:10,EDM,,,Valentine's Day
135,2 - Squats,Sound of You,"Pendulum, Armin van Buuren & Rob Swire",,5:58,EDM,,,"Easy to Learn, Valentine's Day"
135,3 - Chest,Gnarly,KATSEYE,,4:38,K-Pop,,,Easy to Learn
135,4 - Back,STACKS,TRICKSTAR & Dirty Audio,,4:57,EDM,,,
135,5 - Triceps,Super Graphic Ultra Modern Girl,Chappell Roan,,5:01,Pop,,,"Valentine's Day, Pride, Women of Pop, Sing-Along, Spicy"
135,6 - Biceps,R U SLEEPING,Sigma feat. Dizzee Rascal & Coco,,4:53,EDM,,,
135,7 - Lunges,Mind Still,Sonny Fodera feat. blythe,,5:00,EDM,,,Easy to Learn
135,8 - Shoulders,Lift Off,Hardwell,,6:18,EDM,,,Long (>6 min)
135,9 - Core,Gasolina,Sunlay,,5:34,EDM,,,
135,10 - Cooldown,Ate That,NTP feat. Rubi Du,,3:16,Hip-Hop,,,Short (<4:30)
